explained_variance,max_error,mean_absolute_error,mean_squared_error,r2_score,mean_absolute_percentage_error,eval_eos_type,eval_eos_name
0.999998927116394,0.010480881,0.0006025423,1.3766529e-06,0.9999988477754423,4.523196e-05,Hyperonic,DS(CMF)-5
0.9999956488609314,0.020171165,0.0014197628,7.2591324e-06,0.9999946081430512,0.00010419669,Hyperonic,DNS
0.999995768070221,0.023516655,0.0012907834,6.7280707e-06,0.9999949071047729,9.3865005e-05,Hyperonic,DS(CMF)-1
0.9999963045120239,0.016041756,0.0013251003,5.9148683e-06,0.9999954849800318,0.00010044021,Hyperonic,DS(CMF)-3
0.9999989867210388,0.013738632,0.00061047205,1.3646384e-06,0.9999988784680595,4.5705376e-05,Hyperonic,DS(CMF)-7
0.9999900460243225,0.017953873,0.0017119909,9.6170115e-06,0.9999900537009284,0.0001339354,Hyperonic,DDHδ Υ4
0.9999977350234985,0.019213676,0.00087520573,3.1898649e-06,0.9999975232207211,6.368169e-05,Hyperonic,GM1 Y6
0.9999975562095642,0.016450882,0.00095017004,3.6326023e-06,0.9999973294647932,6.889718e-05,Hyperonic,GM1 Y5
0.9999986886978149,0.016749382,0.0006485959,1.8250536e-06,0.9999986040848602,4.854882e-05,Hadronic,DS(CMF)-6
0.9999948740005493,0.021116257,0.0013383826,7.2206044e-06,0.9999942592354103,9.731423e-05,Hadronic,DS(CMF)-2
0.9999991655349731,0.009923935,0.00059928605,1.1152772e-06,0.9999991122447422,5.208999e-05,Hadronic,KDE0v1
0.9999977350234985,0.014135361,0.0011297795,4.635928e-06,0.9999973638163981,8.3773135e-05,Hadronic,SK255
0.9999930262565613,0.024128914,0.0014993462,9.854406e-06,0.9999914272912245,0.00011850898,Hadronic,BSK25
0.9999982118606567,0.011897087,0.00091088424,3.1669683e-06,0.999997868107079,7.2670424e-05,Hadronic,SkOp
0.9999969601631165,0.017418861,0.0011377194,4.1114267e-06,0.9999956278816335,9.69332e-05,Hadronic,BSK26
0.999995231628418,0.018397331,0.0011920204,6.3258517e-06,0.9999939436795872,0.000100014055,Hadronic,SLY230a
0.999996542930603,0.014976501,0.0010341144,4.05968e-06,0.9999965315921433,8.2865816e-05,Hadronic,SKI6
0.9999987483024597,0.009824753,0.0006872714,1.7200884e-06,0.9999983312576826,5.933129e-05,Hadronic,SLY4
0.9999971389770508,0.014428139,0.0008539639,3.3987528e-06,0.9999965811780592,7.194634e-05,Hadronic,D1M*
0.9999986290931702,0.010655403,0.00063628086,1.7938075e-06,0.999998505339618,4.9683404e-05,Hadronic,PCSB2
0.9999982118606567,0.011492729,0.0009778258,3.0978176e-06,0.9999976047168047,8.015873e-05,Hadronic,TW
0.9999975562095642,0.017292976,0.0010085708,4.378156e-06,0.999997175231163,7.4014344e-05,Hadronic,SKI3
0.9999974966049194,0.020043373,0.000908325,3.6859049e-06,0.9999968979815989,7.102253e-05,Hadronic,BSK24
0.9999958872795105,0.019849777,0.0015917178,7.962159e-06,0.9999941398652804,0.00012071789,Hadronic,FSU2R
0.999993622303009,0.024093628,0.0019210322,1.3688961e-05,0.9999915648768964,0.00013625549,Hadronic,SKI5
0.9999907612800598,0.017989159,0.0020977447,1.170785e-05,0.9999907556813418,0.00016312677,Hadronic,DDHδ
